================Following are detailed information of delay round off============
Module                              Instance                            Timescale of Module(SDF)            File Name                           Line Number                         
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        442                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        444                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        445                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        446                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        448                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        449                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        450                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        452                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        454                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        455                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        456                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        457                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        459                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        462                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        464                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        465                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        466                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        468                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        470                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        472                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        474                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        475                                 
top_riscv_tec_pads                  Test_Top.uut                        1 ns/10 ps(1ns)                     Tec_Riscv_pads_phy_no_pg.sdf        476                                 
